pareto_points,approximated_pareto_points,grid_points_with_highest_costs,differences,difference_with_previous_champs
"[ 1.99943942  3.99271032  5.99989656  7.99574975  9.98645236 11.98407658
 13.98887983 15.93827652  0.07540832  0.31736184  4.41173876 23.89820455
  9.08608441 27.99844679]","[2.0, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 0.0, 0.0, 4.4, 24.0, 9.1, 28.0]","[1.7000000000000002, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 0.0, 0.0, 4.4, 24.0, 9.1, 28.0]",0.5999999999999996,"[0.1999999999999993, 0.20000000000000107, 0.1999999999999993, 0.40000000000000036, 0.1999999999999993, 0.0, 0.4499999999999993, 0.29999999999999893, 0.15000000000000036, 0.4499999999999993, 0.29999999999999893, 0.15000000000000036, 0.5, 0.40000000000000036, 0.29999999999999893, 0.4999999999999982, 0.40000000000000036, 0.29999999999999893, 0.5499999999999989, 0.5, 0.4499999999999975, 0.5499999999999989, 0.5, 0.4499999999999993, 0.6799999999999997, 0.7599999999999998, 0.8399999999999981, 0.6799999999999997, 0.7599999999999998, 0.8399999999999981, 0.5999999999999996, 0.5999999999999996, 0.5999999999999996, 0.5999999999999996, 0.5999999999999996, 0.5999999999999996, 0.5999999999999996, 0.5999999999999996, 0.5999999999999996, 0.7227931036720197, 0.6663563606422258, 0.8440115952078546, 0.7321648618903218, 0.964317695008031, 0.797532508019275, 0.797532508019275, 0.9920181635527712, 1.1861194864971871]"
"[1.99954836e+00 3.99980908e+00 5.99895091e+00 7.99320989e+00
 9.97757892e+00 1.19960927e+01 1.22375419e-02 5.78137051e-02
 9.28927532e+00 1.86878087e+01 2.74666524e+00 2.60487959e+00
 9.14691727e+00 2.79737700e+01]","[2.0, 4.0, 6.0, 8.0, 10.0, 12.0, 0.0, 0.0, 9.0, 19.0, 2.2, 2.4, 9.1, 28.0]","[1.7000000000000002, 4.0, 6.0, 8.0, 10.0, 12.0, 0.0, 0.0, 9.0, 19.0, 2.2, 2.4, 9.1, 28.0]",0.4499999999999993,"[0.14999999999999858, 0.15000000000000213, 0.14999999999999858, 0.3000000000000007, 0.14999999999999858, 0.0, 0.34999999999999964, 0.25, 0.14999999999999858, 0.34999999999999964, 0.25, 0.14999999999999858, 0.3999999999999986, 0.34999999999999964, 0.29999999999999893, 0.3999999999999986, 0.34999999999999964, 0.29999999999999893, 0.5398749999999986, 0.6297499999999996, 0.7196249999999988, 0.5398749999999986, 0.6297499999999996, 0.7196249999999988, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.4499999999999993, 0.7232603515437059, 0.5978341162247389, 0.9910414678775066, 0.7440506550797981, 1.2535664455286497, 0.8886831962897226, 0.8886831962897226, 1.313427212471014, 1.7252151770973345]"
"[2.20332963e-04 1.22875790e-07 4.94568306e+00 7.85259942e+00
 9.57915026e+00 1.14520724e+01 1.39374241e+01 1.58746634e+01
 1.29022569e+00 4.26003233e-01 3.89157399e+00 1.07181906e+00
 9.12366934e+00 9.82924478e+00]","[0.0, 0.0, 4.8, 8.0, 9.5, 11.4, 14.0, 16.0, 0.9, 0.0, 4.4, 1.2, 9.1, 9.799999999999999]","[0.0, 0.0, 4.8, 8.0, 9.5, 11.4, 14.0, 16.0, 0.9, 0.0, 4.4, 1.2, 5.2, 9.799999999999999]",3.0,"[0.09843749999999929, 0.19687500000000213, 0.29531249999999787, 0.09843749999999929, 0.19687500000000213, 0.29531249999999787, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999982, 0.4615384615384599, 1.0000000000000018, 0.9230769230769234, 1.0, 1.384615384615385, 2.0, 2.4615384615384617, 1.0, 1.9230769230769234, 0.0, 1.384615384615385]"
"[1.99992478e+00 3.99724124e+00 5.99892739e+00 7.98194228e+00
 9.99548729e+00 1.19967254e+01 1.37423925e+01 1.59330350e+01
 1.79851257e+01 1.99970439e+01 3.66541706e-03 2.17582407e-01
 9.13949868e+00 2.79980370e+01]","[2.0, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 18.0, 20.0, 0.0, 0.0, 9.1, 28.0]","[1.7000000000000002, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 18.0, 20.0, 0.0, 0.0, 9.1, 28.0]",0.7499999999999982,"[0.25, 0.2500000000000018, 0.24999999999999645, 0.4999999999999982, 0.24999999999999645, 0.0, 0.5499999999999989, 0.3499999999999961, 0.15000000000000036, 0.5499999999999989, 0.3499999999999961, 0.15000000000000036, 0.5999999999999979, 0.4499999999999975, 0.29999999999999893, 0.5999999999999996, 0.4499999999999975, 0.29999999999999893, 0.6499999999999968, 0.5499999999999989, 0.4499999999999975, 0.6499999999999986, 0.5499999999999989, 0.4499999999999975, 0.6999999999999975, 0.6499999999999986, 0.5999999999999979, 0.6999999999999975, 0.6499999999999986, 0.5999999999999979, 0.7999999999999989, 0.8499999999999979, 0.8999999999999986, 0.7999999999999989, 0.8499999999999979, 0.8999999999999986, 0.6615897078696129, 0.7006943884034911, 0.586920291638231, 0.6553565884247945, 0.5260866008210847, 0.6140061555159928, 0.6140061555159928, 0.5140192516422317, 0.45027461465742746]"
"[ 1.99998269  3.99999737  5.99998185  7.93766134  9.72395305 11.91551024
 13.98232622 15.06272703 17.44821307 19.98599952 19.61502056 21.46738337
  9.14081165  9.77584623]","[2.0, 4.0, 6.0, 8.0, 9.5, 12.0, 14.0, 15.200000000000001, 17.1, 20.0, 19.8, 21.599999999999998, 9.1, 9.799999999999999]","[2.0, 4.0, 6.0, 8.0, 9.5, 12.0, 14.0, 15.200000000000001, 17.1, 20.0, 19.8, 21.599999999999998, 5.2, 9.799999999999999]",0.9650656711117396,"[0.09843749999999929, 0.09843750000000107, 0.09843749999999929, 0.19687500000000036, 0.09843749999999929, 0.0, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.29531249999999964, 0.1559580933539575, 0.19468304261067715, 0.33034370946629643, 0.30033188923448684, 0.183451368291486, 0.29462619278869084, 0.5137950777577789, 0.7084781203684596, 0.183451368291486, 0.48378325752597284, 0.0, 0.29462619278869084]"
"[2.20332963e-04 1.47760254e-07 5.75589494e+00 7.85259942e+00
 9.57915026e+00 1.14520724e+01 1.39206790e+01 1.58746634e+01
 1.10723801e+00 4.26003233e-01 3.00829360e+00 1.07181906e+00
 9.12366934e+00 9.82924478e+00]","[0.0, 0.0, 5.7, 8.0, 9.5, 11.4, 14.0, 16.0, 0.9, 0.0, 3.3000000000000003, 1.2, 9.1, 9.799999999999999]","[0.0, 0.0, 5.7, 8.0, 9.5, 11.4, 14.0, 16.0, 0.9, 0.0, 3.3000000000000003, 1.2, 5.2, 9.799999999999999]",3.0,"[0.09843749999999929, 0.19687500000000213, 0.29531249999999787, 0.09843749999999929, 0.19687500000000213, 0.29531249999999787, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999982, 0.4615384615384599, 1.0000000000000018, 0.9230769230769234, 1.0, 1.384615384615385, 2.0, 2.4615384615384617, 1.0, 1.9230769230769234, 0.0, 1.384615384615385]"
"[1.99992666e+00 3.99999664e+00 5.99994523e+00 7.98528608e+00
 5.60161057e-03 1.58059549e-01 1.39926786e+01 1.59709003e+01
 1.37018974e+01 1.98852808e+01 2.19484165e+01 3.67648395e+00
 9.10017342e+00 2.79979939e+01]","[2.0, 4.0, 6.0, 8.0, 0.0, 0.0, 14.0, 16.0, 13.5, 20.0, 22.0, 3.5999999999999996, 9.1, 28.0]","[1.7000000000000002, 4.0, 6.0, 8.0, 0.0, 0.0, 14.0, 16.0, 13.5, 20.0, 22.0, 3.5999999999999996, 9.1, 28.0]",0.3000000000000007,"[0.09999999999999787, 0.10000000000000142, 0.10000000000000142, 0.20000000000000284, 0.10000000000000142, 0.0, 0.25000000000000355, 0.1999999999999993, 0.15000000000000213, 0.25000000000000355, 0.1999999999999993, 0.15000000000000213, 0.46890624999999986, 0.637812499999999, 0.8067187500000017, 0.46890624999999986, 0.637812499999999, 0.8067187500000017, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.3000000000000007, 0.7387000345975778, 0.5381625024526393, 1.1621859498577543, 0.7718057671534488, 1.5712510040459335, 1.0010561739650399, 1.0010561739650399, 1.6636844756028264, 2.2911381897180956]"
"[ 1.99951389  3.99989799  5.99984968  7.99273139  9.95194038 11.98635021
 13.99569462 15.94091475 17.999276   19.9929037  21.99969474 23.95578986
  9.08608441 27.99781659]","[2.0, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 18.0, 20.0, 22.0, 24.0, 9.1, 28.0]","[2.0, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 18.0, 20.0, 22.0, 24.0, 9.1, 23.799999999999997]",1.3576089166776644,"[0.29999999999999893, 0.3000000000000025, 0.29999999999999716, 0.5999999999999996, 0.29999999999999716, 0.0, 0.6499999999999986, 0.3999999999999986, 0.14999999999999858, 0.6499999999999986, 0.3999999999999986, 0.14999999999999858, 0.6999999999999993, 0.4999999999999982, 0.29999999999999893, 0.6999999999999993, 0.4999999999999982, 0.29999999999999893, 0.7499999999999982, 0.5999999999999979, 0.4499999999999993, 0.75, 0.5999999999999979, 0.4499999999999993, 0.7999999999999989, 0.6999999999999993, 0.5999999999999979, 0.7999999999999972, 0.6999999999999993, 0.5999999999999979, 0.8499999999999979, 0.7999999999999989, 0.7499999999999982, 0.8499999999999979, 0.7999999999999989, 0.7499999999999982, 0.5413222732493637, 0.701383522811879, 0.2256200079283026, 0.515541502341291, 0.04939980365324104, 0.39150600414718717, 0.39150600414718717, 0.05792325387814401, 0.35028585914628074]"
"[1.99828239e+00 3.98387377e+00 1.09311512e-02 1.76356976e-01
 3.30267592e-01 1.11586110e+01 1.34170326e+01 8.48525346e-01
 1.73672590e+01 5.66796550e-01 1.08678063e+00 2.16869101e+00
 9.04234743e+00 2.68685459e+01]","[2.0, 4.0, 0.0, 0.0, 0.5, 11.4, 13.299999999999999, 0.8, 17.1, 1.0, 1.1, 2.4, 9.1, 26.599999999999998]","[2.0, 4.0, 0.0, 0.0, 0.5, 11.4, 13.299999999999999, 0.8, 17.1, 1.0, 1.1, 2.4, 9.1, 28.0]",0.6837278106508897,"[0.05363165680473614, 0.053631656804732586, 0.053631656804732586, 0.10726331360946517, 0.053631656804732586, 0.0, 0.24805473372780895, 0.3352144970414166, 0.4223742603550278, 0.24805473372780895, 0.3352144970414166, 0.4223742603550278, 0.15774066909422046, 0.16404927173418216, 0.167203573054163, 0.17035787437414385, 0.15774066909422046, 0.16404927173418216, 0.15458636777423607, 0.15143206645425522, 0.1595158170232125, 0.16227412380518658, 0.15813666363222367, 0.1567575102412384, 0.1595158170232125, 0.16227412380518658, 0.1636532771961754, 0.1650324305871642, 0.16040339098771028, 0.16138654984069234, 0.15991181156121925, 0.15942023213472822, 0.16040339098771028, 0.16138654984069234, 0.16187812926718337, 0.16236970869367084, 0.16067307692307864, 0.16111686390532398, 0.16133875739644665, 0.16156065088757288, 0.16067307692307864, 0.16111686390532398, 0.16045118343195242, 0.16133875739644665, 0.16156065088757288, 0.5844701055964769, 0.38894395134779813, 1.00828617048397, 0.617062787639707, 1.4323431650766807, 0.8452514792899386, 0.8452514792899386, 0.5228328402366884, 2.053069526627219, 2.738683431952662]"
"[ 0.24634969  3.99793813  0.08297472  7.74440389  9.26960719 11.53764919
  3.22278848  0.05610753 16.76058193 19.35525371 21.61300015 22.17191771
  7.09003331 11.07308701]","[0.2, 4.0, 0.0, 7.6000000000000005, 9.5, 11.4, 3.5, 0.0, 17.1, 19.0, 22.0, 21.599999999999998, 6.5, 11.2]","[0.2, 4.0, 0.0, 7.6000000000000005, 9.5, 11.4, 3.5, 0.0, 17.1, 19.0, 22.0, 21.599999999999998, 2.6, 11.2]",2.9295606476712273,"[0.10214190565839232, 0.20428381131678464, 0.10214190565839232, 0.40856762263356927, 0.5107095282919616, 0.10214190565839232, 0.0, 0.10214190565839232, 0.32153903236549297, 0.336652347755809, 0.351765663146125, 0.2913124015848627, 0.32153903236549297, 0.27619908619454847, 0.26108577080423245, 0.3000583305580342, 0.3127931033923197, 0.293690944140895, 0.2873235577237523, 0.3000583305580342, 0.3127931033923197, 0.293690944140895, 0.2873235577237523, 0.30207494624426623, 0.31077648770608945, 0.2977241755133555, 0.3151272584370002, 0.293373404782443, 0.3194780291679109, 0.31077648770608945, 0.3151272584370002, 0.3194780291679109, 0.3050083659434897, 0.307843068006866, 0.3035910149118006, 0.3021736638801116, 0.3050083659434897, 0.307843068006866, 0.3035910149118006, 0.3021736638801116, 0.3058848793236031, 0.30534404167202567, 0.3048032040204518, 0.3058848793236031, 0.3069665546267526, 0.30534404167202567, 0.30750739227832824, 0.3048032040204518, 0.6597433095477925, 1.924178848699425, 0.9759398991648816, 3.169057865443353, 0.9874517219833763, 4.327390547846177, 2.756791409231628, 3.102067385385002, 3.0774392996652686, 3.2743204871618055, 3.3972079670150883, 3.249728097788285]"
